hosts;Aplectana cf hylambatis;Aplectana sp 1;Aplectana sp 2;Catadiscus pygmaeus;Cosmocerca parva;Cosmocerca podicipinus;Cosmocercella cf phyllomedusae;Glypthelmins palmipedis;Oxyascaris oxyascaris;Physalopteroides venancioi;Physocephalus sp  1;Physocephalus sp  2;Physocephalus sp  3;Raillietnema minor;Schrankiana formosula;Schrankiana fuscus
Pseudis platensis;7;0;0;0;1;5;4;4;0;0;8;1;0;2;0;0
Trachycephalus typhonius;4;81;8;0;2;36;4;0;0;0;0;0;0;0;0;0
Hypsiboas raniceps;8;0;0;0;0;19;4;8;0;0;0;0;0;0;0;0
Leptodactylus chaquensis;0;0;0;0;0;30;0;0;0;0;0;0;0;5;5;0
Phyllomedusa azurea;8;0;0;0;9;6;9;8;3;4;0;0;0;3;0;0
Leptodactylus podicipinus;7;0;0;0;4;5;7;0;0;0;0;0;0;2;0;0
Leptodactylus fuscus;7;0;0;0;3;26;7;3;0;0;0;0;0;0;0;1
Lypsapsus limellum;0;0;0;0;0;0;0;0;0;0;14;3;0;0;0;0
Dendropsophus nanus;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0
Physalaemus albonotatus;0;0;0;66;0;0;0;0;0;0;11;1;0;0;0;0
Scinax nasicus;0;0;0;0;0;10;0;0;0;0;0;0;10;10;0;0
